0, 122.78308321964869
61.29032258064518, 3194.8686353034427
99.99999999999994, 6879.945429740794
154.83870967741933, 14003.608678431541
200, 22600.272851296046
232.25806451612902, 28617.964177265327
296.7741935483871, 33286.36183602517
348.38709677419354, 34516.305065352295
400, 35377.899045020466
451.61290322580635, 36116.709941469
500, 36978.17189631651
603.2258064516128, 37964.661356335
699.9999999999999, 38582.537517053206
803.2258064516128, 39077.894644193104
896.774193548387, 39450.07261365136
951.6129032258065, 45468.688113365315
999.9999999999999, 51609.82264665758
1051.6129032258063, 56646.04145579369
1100, 61068.212824010916
1141.9354838709678, 62052.19381243674
1200, 62791.2687585266
1300, 63532.06002728514
1403.2258064516127, 64027.41715442503
1503.2258064516127, 64522.64225674427
1545.1612903225805, 69435.68190819873
1600, 74963.1650750341
1645.1612903225805, 78771.28900233244
1696.7741935483868, 81965.76156317387
1799.9999999999995, 83197.81718963165
1903.2258064516127, 83693.17431677156
2003.2258064516127, 84188.3994190908
2100, 84683.49249658936
2200, 84687.58526603002
2303.2258064516127, 84937.37622673063
2403.225806451613, 85064.25207939092
2499.9999999999995, 85190.99590723056
2603.2258064516122, 85195.22070149188
2696.7741935483873, 85076.26633807155
