0, 0
99.99999999999994, 126.8758526603051
200, 744.8840381991904
296.7741935483871, 1362.7601989174
400, 1735.3342428376345
503.2258064516128, 1862.34212031863
600, 2111.8690313778934
699.9999999999999, 2238.7448840381985
799.9999999999999, 2242.837653478855
896.774193548387, 2369.581481318499
1003.225806451613, 2251.155217180829
1100, 2500.682128240107
1200, 2504.7748976807634
1300, 2754.4338335607026
1403.2258064516127, 2881.441711041669
1500, 3130.968622100947
1600, 3012.2783083219692
1703.2258064516127, 2893.7200193636236
1803.2258064516127, 3266.162038463226
1899.9999999999995, 3638.472032742153
2003.2258064516127, 3519.9137437838363
2100, 3646.657571623451
2203.2258064516127, 3896.4485323240806
2300, 3900.4092769440613
2396.774193548387, 4027.1531047836907
2503.2258064516127, 4277.076090304967
2600, 4281.036834924962
2696.7741935483873, 4284.997579544943
